codigo_producto,descripcion,negocio,seccion,linea,categoria,abastecimiento,comuna,region,tienda,zonal,mes,año,semestre,fecha,motivo,ubicación_motivo,merma_unidad,merma_monto,merma_unidad_p,merma_monto_p
933456,ROCKLETS CHOC DOYPACK DOS EN UNO 150 GR,PGC,PGC ALIMENTACION,DESAYUNO Y DULCE,CHOCOLATES,CENTRALIZADO,TEMUCO,IX,TEMUCO III,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-05,CLIENTES,SALA DE VENTAS,-10,-858,10,858
59393,QUESO LAMINADO RANCO COLUN KILO,PERECIBLES,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,QUESOS MADUROS - SEMI MADUROS GRANEL,DIRECTO,TEMUCO,IX,TEMUCO II,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-15,CLIENTES,SALA DE VENTAS,-9,-372,9,372
59393,QUESO LAMINADO RANCO COLUN KILO,PERECIBLES,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,QUESOS MADUROS - SEMI MADUROS GRANEL,DIRECTO,TEMUCO,IX,TEMUCO II,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-19,VENCIMIENTO,BODEGA,-18,-744,18,744
59393,QUESO LAMINADO RANCO COLUN KILO,PERECIBLES,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,QUESOS MADUROS - SEMI MADUROS GRANEL,DIRECTO,TEMUCO,IX,TEMUCO II,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-20,CLIENTES,SALA DE VENTAS,-17,-703,17,703
59393,QUESO LAMINADO RANCO COLUN KILO,PERECIBLES,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,QUESOS MADUROS - SEMI MADUROS GRANEL,DIRECTO,TEMUCO,IX,TEMUCO III,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-20,CLIENTES,SALA DE VENTAS,-25,-94,25,94
23156,BILZ LATA 350 CC.,PGC,PGC ALIMENTACION,BOTILLERIA,BEBIDAS GASEOSAS,CENTRALIZADO,TEMUCO,IX,TEMUCO III,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-22,CLIENTES,SALA DE VENTAS,-10,-345,10,345
23156,BILZ LATA 350 CC.,PGC,PGC ALIMENTACION,BOTILLERIA,BEBIDAS GASEOSAS,CENTRALIZADO,TEMUCO,IX,TEMUCO III,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-23,CLIENTES,SALA DE VENTAS,-10,-345,10,345
23156,BILZ LATA 350 CC.,PGC,PGC ALIMENTACION,BOTILLERIA,BEBIDAS GASEOSAS,CENTRALIZADO,TEMUCO,IX,TEMUCO IV,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-16,CLIENTES,SALA DE VENTAS,-10,-345,10,345
23156,BILZ LATA 350 CC.,PGC,PGC ALIMENTACION,BOTILLERIA,BEBIDAS GASEOSAS,CENTRALIZADO,TEMUCO,IX,TEMUCO IV,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-22,CLIENTES,SALA DE VENTAS,-10,-345,10,345
23156,BILZ LATA 350 CC.,PGC,PGC ALIMENTACION,BOTILLERIA,BEBIDAS GASEOSAS,CENTRALIZADO,TEMUCO,IX,TEMUCO IV,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-23,CLIENTES,SALA DE VENTAS,-10,-346,10,346
23156,BILZ LATA 350 CC.,PGC,PGC ALIMENTACION,BOTILLERIA,BEBIDAS GASEOSAS,CENTRALIZADO,TEMUCO,IX,TEMUCO V,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-22,CLIENTES,SALA DE VENTAS,-10,-345,10,345
870286,BEBIDA ENERGETICA MR BIG 600 CC,PGC,PGC ALIMENTACION,BOTILLERIA,BEBIDAS ENERGETICAS,CENTRALIZADO,ANGOL,IX,ANGOL,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-25,CLIENTES,SALA DE VENTAS,-10,-925,10,925
870286,BEBIDA ENERGETICA MR BIG 600 CC,PGC,PGC ALIMENTACION,BOTILLERIA,BEBIDAS ENERGETICAS,CENTRALIZADO,TEMUCO,IX,TEMUCO V,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-05,CLIENTES,SALA DE VENTAS,-10,-931,10,931
6449,FETTUCCINE 88 CAROZZI 400 GR,PGC,PGC ALIMENTACION,ALIMENTO BASICO,FIDEOS Y PASTAS,CENTRALIZADO,ANGOL,IX,ANGOL,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-09,CLIENTES,SALA DE VENTAS,-10,-454,10,454
6449,FETTUCCINE 88 CAROZZI 400 GR,PGC,PGC ALIMENTACION,ALIMENTO BASICO,FIDEOS Y PASTAS,CENTRALIZADO,ANGOL,IX,ANGOL,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-12,CLIENTES,SALA DE VENTAS,-10,-454,10,454
6449,FETTUCCINE 88 CAROZZI 400 GR,PGC,PGC ALIMENTACION,ALIMENTO BASICO,FIDEOS Y PASTAS,CENTRALIZADO,ANGOL,IX,ANGOL,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-23,CLIENTES,SALA DE VENTAS,-10,-454,10,454
6449,FETTUCCINE 88 CAROZZI 400 GR,PGC,PGC ALIMENTACION,ALIMENTO BASICO,FIDEOS Y PASTAS,CENTRALIZADO,TEMUCO,IX,TEMUCO III,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-10,CLIENTES,SALA DE VENTAS,-20,-908,20,908
6449,FETTUCCINE 88 CAROZZI 400 GR,PGC,PGC ALIMENTACION,ALIMENTO BASICO,FIDEOS Y PASTAS,CENTRALIZADO,TEMUCO,IX,TEMUCO III,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-16,CLIENTES,SALA DE VENTAS,-10,-454,10,454
6449,FETTUCCINE 88 CAROZZI 400 GR,PGC,PGC ALIMENTACION,ALIMENTO BASICO,FIDEOS Y PASTAS,CENTRALIZADO,TEMUCO,IX,TEMUCO IV,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-18,CLIENTES,SALA DE VENTAS,-20,-908,20,908
